1步杀353,5a3/3kaP1C1/9/7R1/9/9/2n6/5K3/4r4/9 w
13步杀9636,2P6/9/1r1Pbkn2/4P4/2b2P3/9/8r/7RC/4p1p2/5K3 w
13步杀9637,6P2/2P1k4/3P5/3P2P2/3npc3/3r2C2/3p2p2/2RrnK3/9/9 w
13步杀9638,7R1/4k4/3a1a3/2C1P1C2/9/4P4/4r4/7n1/1pp1p4/3K5 w
13步杀9639,4P4/3kr1R2/2P6/2C6/9/3p5/5p1r1/2C2p3/4p4/5K3 w
13步杀9759,3k5/2P6/4RPP2/9/2CP3r1/9/9/9/2r1p4/2RK5 w
13步杀9760,3a1kbn1/4P4/1c2n2r1/4p4/9/C4C1pp/9/9/r1p1p4/3K1R2R w
#14步杀9810,4kC3/9/5P3/3R5/9/9/9/2p6/4r4/3K5 w
15步杀10059,9/4k4/2PR1PP2/9/2CP3r1/9/9/9/2r1p4/2RK5 w
15步杀10060,3a1kbn1/4P4/1c2n1r2/4p4/9/CC5pp/9/9/r1p1p4/3K3RR w
15步杀9976,4P4/9/1P1kr1R2/2C6/9/3p5/5p1r1/2C2p3/4p4/5K3 w
16步杀10089,9/9/3aka3/2C3CR1/4P4/4P4/4r4/7n1/1pp1p4/3K5 w
16步杀10141,9/2PRak3/3P2P2/3P2P2/3npc3/3r2C2/3p2p2/2RrnK3/9/9 w
